club,location,total_seasons,highest_finish,top_scorer
Arsenal,London (Holloway),31,1,Thierry Henry (175)
Aston Villa,Birmingham (Aston),28,2,Gabriel Agbonlahor (73)
Barnsley,Barnsley,1,19,Neil Redfearn (10)
Birmingham City,Birmingham (Bordesley),7,9,Mikael Forssell (29)
Blackburn Rovers,Blackburn,18,1,Alan Shearer (112)
Blackpool,Blackpool,1,19,DJ Campbell (13)
Bolton Wanderers,Bolton,13,6,Kevin Davies (68)
Bournemouth,Bournemouth,6,9,Joshua King (49)
Bradford City,Bradford,2,17,Dean Windass (13)
Brentford,London (Brentford),2,13,Ivan Toney (22)
Brighton & Hove Albion,Brighton,6,9,Glenn Murray (28)
Burnley,Burnley,8,7,Chris Wood (49)
Cardiff City,Cardiff,2,18,Jordon Mutch (7)
Charlton Athletic,London (Charlton),8,7,Jason Euell (34)
Chelsea,London (Fulham),31,1,Frank Lampard (147)
Coventry City,Coventry,9,11,Dion Dublin (61)
Crystal Palace,London (Selhurst),14,10,Wilfried Zaha (67)
Derby County,Derby,7,8,Dean Sturridge (32)
Everton,Liverpool (Walton),31,4,Romelu Lukaku (68)
Fulham,London (Fulham),16,7,Clint Dempsey (50)
Huddersfield Town,Huddersfield,2,16,Steve Mounié (9)
Hull City,Kingston upon Hull,5,16,Nikica Jelavić (12)
Ipswich Town,Ipswich,5,5,Marcus Stewart (25)
Leeds United,Leeds,15,3,Mark Viduka (59)
Leicester City,Leicester,17,1,Jamie Vardy (134)
Liverpool,Liverpool (Anfield),31,1,Robbie Fowler (128)
Manchester City,Manchester,26,1,Sergio Agüero (184)
Manchester United,Old Trafford,31,1,Wayne Rooney (183)
Middlesbrough,Middlesbrough,15,7,Hamilton Ricard (31)
Newcastle United,Newcastle upon Tyne,28,2,Alan Shearer (148)
Norwich City,Norwich,10,3,Chris Sutton (33)
Nottingham Forest,West Bridgford,6,3,Bryan Roy (24)
Oldham Athletic,Oldham,2,19,Graeme Sharp (16)
Portsmouth,Portsmouth,7,8,Yakubu (28)
Queens Park Rangers,London (Shepherd's Bush),7,5,Les Ferdinand (60)
Reading,Reading,3,8,Kevin Doyle (19)
Sheffield United,Sheffield (Highfield),5,9,Brian Deane (15)
Sheffield Wednesday,Sheffield (Owlerton),8,7,Mark Bright (48)
Southampton,Southampton,24,6,Matt Le Tissier (100)
Stoke City,Stoke-on-Trent,10,9,Peter Crouch (45)
Sunderland,Sunderland,16,7,Kevin Phillips (61)
Swansea City,Swansea,7,8,Gylfi Sigurðsson (34)
Swindon Town,Swindon,1,22,Jan Åge Fjørtoft (12)
Tottenham Hotspur,London (Tottenham),31,2,Harry Kane (195)
Watford,Watford,8,11,Troy Deeney (43)
West Bromwich Albion,West Bromwich,13,8,Peter Odemwingie (30)
West Ham United,London (Stratford),27,5,Michail Antonio (58)
Wigan Athletic,Wigan,8,10,Hugo Rodallega (24)
Wimbledon[b],London (Wimbledon[c]),8,6,Dean Holdsworth (58)
Wolverhampton Wanderers,Wolverhampton,9,7,Raúl Jiménez (40)
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
